Datei;Variable;Mittelwert;Median;Standardabweichung;Minimalwert;Maximalwert;RMS;Anzahl_Werte
Results_File_5_TOP_1.mat;Data[0].ModelsData[0].Model1[0].Hub[0].Nodding;219.76416072727838;209.6248321533248;347.27988755288527;-531.1613566080723;908.3778991699251;410.97397318919076;20000
Results_File_5_TOP_1.mat;Data[0].ModelsData[0].Model1[0].Hub[0].Torque;65.69673287820478;65.7252584941435;4.907920573627007;45.30631068773615;83.36102222571733;65.8798026350051;20000
Results_File_5_TOP_1.mat;Data[0].ModelsData[0].Model1[0].Azimuth;179.8243428757093;179.80073992411326;104.11079462487022;0.026498476664528425;359.9829988479614;207.78799736294337;20000
Results_File_5_TOP_1.mat;Data[0].ModelsData[0].Model1[0].PowerReference[0].Rel;100.0;100.0;0.0;100.0;100.0;100.0;1000
Results_File_5_TOP_1.mat;Data[0].ModelsData[0].Model1[0].PowerReference[0].Abs;46.0;46.0;0.0;46.0;46.0;46.0;1000
Results_File_5_TOP_1.mat;Data[0].ModelsData[0].Model1[0].AirDensity;1.1299999952316284;1.1299999952316284;0.0;1.1299999952316284;1.1299999952316284;1.1299999952316284;1000
Results_File_5_TOP_1.mat;Data[0].RecordingStart;nan;nan;nan;nan;nan;nan;1
Results_File_5_TOP_1.mat;Data[0].TN;nan;nan;nan;nan;nan;nan;1
Results_File_5_TOP_10.mat;Data[0].Time;3.9998;3.9998;2.3094010738717516;0.0;7.9996;4.618628948075392;20000
Results_File_5_TOP_10.mat;Data[0].ModelsData[0].Model1[0].Tower[0].FA;-4.3616418883729615;-4.2811738488174065;0.9310273152667852;-5.891822814941406;-2.9904545391759605;4.459902669810466;2000
Results_File_5_TOP_10.mat;Data[0].ModelsData[0].Model1[0].Tower[0].SS;-1.5157776327793515;-1.4902525217302256;1.0063084059838407;-3.140813365578656;0.08107712961011444;1.8194060679210435;2000
Results_File_5_TOP_10.mat;Data[0].ModelsData[0].Model1[0].RotorSpeed;782.9793449567139;782.9823126650936;0.2036698629561329;782.1628492327209;783.7258760595844;782.9793714461817;2000
Results_File_5_TOP_10.mat;Data[0].ModelsData[0].Model1[0].PitotVelocity;4.045667025512985;4.045880732997771;0.01451433713329274;3.9989554062485686;4.098597065094979;4.045693061430328;2000
Results_File_5_TOP_10.mat;Data[0].ModelsData[0].Model1[0].Pitch[0].Blade1;0.3993149995803833;0.3993149995803833;0.0;0.3993149995803833;0.3993149995803833;0.3993149995803833;2000
Results_File_5_TOP_10.mat;Data[0].ModelsData[0].Model1[0].Pitch[0].Blade1Dem;0.4000000059604645;0.4000000059604645;0.0;0.4000000059604645;0.4000000059604645;0.40000000596046453;2000
Results_File_5_TOP_10.mat;Data[0].ModelsData[0].Model1[0].Pitch[0].Blade2;0.3991750180721283;0.3991750180721283;0.0;0.3991750180721283;0.3991750180721283;0.39917501807212835;2000
Results_File_5_TOP_10.mat;Data[0].ModelsData[0].Model1[0].Pitch[0].Blade2Dem;0.4000000059604645;0.4000000059604645;0.0;0.4000000059604645;0.4000000059604645;0.40000000596046453;2000
Results_File_5_TOP_10.mat;Data[0].ModelsData[0].Model1[0].Pitch[0].Blade3;0.39368000626564026;0.39368000626564026;0.0;0.39368000626564026;0.39368000626564026;0.3936800062656403;2000
Results_File_5_TOP_10.mat;Data[0].ModelsData[0].Model1[0].Pitch[0].Blade3Dem;0.4000000059604645;0.4000000059604645;0.0;0.4000000059604645;0.4000000059604645;0.40000000596046453;2000
Results_File_5_TOP_10.mat;Data[0].ModelsData[0].Model1[0].Yaw;30.514340955327594;30.511087048438288;0.024308470949164437;30.4739990234375;30.55499839782715;30.514350637687556;2000
Results_File_5_TOP_10.mat;Data[0].ModelsData[0].Model1[0].YawDem;30.0;30.0;0.0;30.0;30.0;30.0;2000
Results_File_5_TOP_10.mat;Data[0].ModelsData[0].Model1[0].PitotDirection;0.006195068359375;0.006195068359375;0.0;0.006195068359375;0.006195068359375;0.006195068359375;2000
